Буква,Населенный_пункт,Стоимость
Р,Раевка,250
Р,Раевский,250
Р,Раевском,250
А,Абдрашитово,800
А,М. Абдрашитово,800
А,Абдулкаримово,1200
А,Аврюз верхний,900
А,Аврюз Нижний,800
А,Аврюз-Тамак,700
А,Адамовка,700
А,Айдагул,1000
А,Айтуган,1600
А,Акберда,300
А,Аксеново,1000
А,Аскулаево (мал),350
А,Аскулаево (нов),500
А,Аскулаево (стар),450
А,Акыстау,750
А,Алдарово,1500
А,Александровка,1500
А,Андриановка,900
А,Абдуллино,4500
А,Алдон,3000
А,Аксаково,1900
А,Алкино,2600
А,Асыла-куль,2000
Б,Байдаковка,1500
Б,Бавлы,6100
Б,Балгазы,1600
Б,Балкан,1400
Б,Базитово,650
Б,Бегениш,1750
Б,Белаковка,1500
Б,Берлек (окотобаза),700
Б,Бикчагул,800
Б,Боголюбовка,1600
Б,Бугульминска,1200
Б,Бугульма,7500
Б,Будоньяр,1700
Б,Белебей,2300
Б,Белое озеро,3300
Б,Бижбуляк,2500
Б,Буздяк,2300
Б,Белорецк,10500
Б,Благовещенск,5100
Б,Благовар,3000
Б,Бакалы (ч/з Белебей),6000
Б,Бакалы (ч/з Давлек.),6300
В,Воздвиженка,1300
В,Второй перекат,400
В,Вперёд,1000
В,Верхнеяркеево,6000
Г,Гайниямак,1500
Г,Григорьевка,500
Г,Глуховская,1500
Д,Думук,1200
Д,Дюртюли,5500
Д,Д. Дюртюли,800
Д,Дема (жд вокзал),3100
Д,Демский,600
Д,Давлеканово,650-700
Е,Ермекеево,3500
З,Загарат,1200
З,Зеленый Клин,1200
З,Знаменка (Белеб),1700
И,Иглино,1000
И,Иршат,1400
И,Ибраево,450
И,Иряк,1300
И,Идрисово,300-450
И,Иглино,4500
И,Ишимбай,3700
И,Ильчигулово,1600
К,Казанка,400-500
К,Кайраклы,1500
К,Каменка,1300
К,Каран,800
К,Кармышево,300-400
К,Ким,1000
К,Кирпак/Аскаров,750
К,Кирпак Новый,1000
К,Клиновка,1500
К,Колонка,800
К,Красная Звезда,800
К,Красный Клин,1000
К,Крымский,700
К,Куль Кудас,2000
К,Кызыл Юл,1300
К,Кандрыкуль,3400
К,Кармаскалы,3600
К,Каразьбаш,800
К,Кладбище,300
К,Казанский,400
К,Пруд,
К,Киргиз-Мияки,2300
К,Красноусольск,4000
К,Кумертау,6000
К,Казань,15000
К,Кандры,3300
Л,Линда,500
М,Медяндово,1000
М,Мечниково,850
М,Михайловка (Абдр),1000
М,Миякитамак,1500
М,Михайловка (Карм),700
М,Мурзагулово,1850
М,Мелеуз,5100
Н,Наб Челны,10000
Н,Нефрооца,1600
Н,Нигматуллино,1100
Н,Никифорово,1300
Н,Новоконстантиновка,1600
Н,Новоболгазы,1500
Н,Нарыстау,1300
Н,Нарыстау (родн),1500
О,Орловка,1500
О,Отрада,1300
О,Октябрьский,4700
О,Оренбург,10000
П,Писаревка,1600
П,Промысел НГДУ,350
П,Площадка птицефабрики,600-650
П,Приютово,2800
П,Первомайский,1600
С,Самодуровка,1000
С,Сараево,1200
С,Сартбаш,850
С,Сарышево,800
С,Нов. Сепяш,350-400
С,Ст. Сепяш,250-350
С,Слак,700
С,Слаковский пруд,750
С,Ст. Васильевка,1300
С,Степановка,1100
С,Салават,3800
С,Стерлибашево,4200
С,Стерлитамак,2700
С,Слакбаш,1500
Т,Тавричанка,1500
Т,Ташкичу,850
Т,Ташлы,700
Т,Таштюба,600
Т,Трунтаишево,800
Т,Тукмакбаш,1500
Т,Тюбетево,900
Т,Толбазы,2700
Т,Туймазы,4300
У,Урняк,550
У,Уваровка,500
У,Уразметово,1600
У,Устьевка,800
У,Услы,1900
У,Уфа Аэропорт,3000
У,Уфа М.Дружбы,3500
У,Уфа ж/д вокзал,3900
У,Уфа,4500
У,Черниковка,4000
У,Уфа Сипайлово,
У,Учалы,13000
У,Усыбаш,1800
У,Улу Теляк,6300
Ф,Фань,600
Ф,Федоровка,4500
Х,Ханжарово,850
Х,Хрустальное,1400
Х,Хусаин,500
Ч,Чайкино,700
Ч,Чебени,1000
Ч,Челноковка,1100
Ч,Челябинск,16500
Ч,Чехово сан.,1200
Ч,Чуракаево,500
Ч,Чураево,700
Ч,Чесноковка,3200
Ч,Челябинск,16500
Ч,Чишмы,2200
Ч,Чекмагуш,4200
Ч,Чумаклапово,2000
Ш,Шафраново,600-650
Ш,"Шафраново ""Мать и дитя""",800
Ш,Шашма,500
Ш,Шенгак-куль,1300
Я,Ярбабакуль,1100
Я,Ярташлы,1700
Я,Языково,3350
Я,1513км,400
Я,1490км,500
Ю,Юматово,2700
Ю,Юмагузино,6200
Ю,Юрозань,10000
